Project_ID,Project_Name,Sector,Lead_Contractor,Target_Budget_USD,Final_Cost_USD,Planned_Start,Planned_Duration_Days,Actual_End,Actual_Duration_Days,Cost_Variance,Schedule_Variance,CPI,Is_Over_Budget
PROJ-1000,Site Phase 6 Development,RESIDENTIAL,Apex Build,3995654,5179876.393173464,2022-04-13,454,2023-10-24,559,-1184222.3931734636,-105,0.7713801829838748,1
PROJ-1001,Site Phase 5 Development,RESIDENTIAL,Apex Build,710734,1981902.4972983445,2023-03-12,94,2023-11-05,238,-1271168.4972983445,-144,0.3586119907355917,1
PROJ-1002,Site Phase 2 Development,INFRASTRUCTURE,Apex Build,2400112,3437896.4871309446,2024-05-10,208,2025-01-06,241,-1037784.4871309446,-33,0.6981338760443555,1
PROJ-1003,Site Phase 9 Development,COMMERCIAL,Summit Const,2029860,2865814.4148294744,2022-09-28,378,2023-12-02,430,-835954.4148294744,-52,0.7083012736261861,1
PROJ-1004,Site Phase 4 Development,RESIDENTIAL,Vertex Infra,2711791,3010516.640604265,2022-04-17,463,2023-08-16,486,-298725.64060426503,-23,0.9007726326520802,1
PROJ-1005,Site Phase 4 Development,RESIDENTIAL,Summit Const,1522444,3621669.672247788,2022-03-13,154,2023-03-27,379,-2099225.672247788,-225,0.4203707510009039,1
PROJ-1006,Site Phase 5 Development,COMMERCIAL,Delta Partners,2933975,3993453.444949301,2023-12-02,235,2024-08-21,263,-1059478.444949301,-28,0.7346961822506606,1
PROJ-1007,Site Phase 8 Development,RESIDENTIAL,Delta Partners,1684879,2325159.8980203145,2022-01-21,313,2023-04-14,448,-640280.8980203145,-135,0.7246293046059061,1
PROJ-1008,Site Phase 4 Development,COMMERCIAL,Delta Partners,3061552,4173759.6255007614,2023-09-07,328,2024-09-17,376,-1112207.6255007614,-48,0.733523795020342,1
PROJ-1009,Site Phase 5 Development,RESIDENTIAL,Apex Build,2471140,3694640.705358076,2022-05-02,266,2023-03-17,319,-1223500.705358076,-53,0.6688444688048504,1
PROJ-1010,Site Phase 4 Development,INFRASTRUCTURE,Apex Build,2750100,3863444.761929428,2023-04-12,356,2024-05-16,400,-1113344.7619294282,-44,0.7118258884143028,1
PROJ-1011,Site Phase 6 Development,RESIDENTIAL,Summit Const,4817720,6551484.249873097,2022-08-03,430,2023-11-04,458,-1733764.249873097,-28,0.7353631354747315,1
PROJ-1012,Site Phase 3 Development,RESIDENTIAL,Vertex Infra,4122181,5865382.854020679,2022-11-27,371,2023-12-27,395,-1743201.8540206794,-24,0.7027982831801463,1
PROJ-1013,Site Phase 8 Development,COMMERCIAL,Delta Partners,1406152,1861730.5555332971,2023-04-04,152,2023-09-26,175,-455578.5555332971,-23,0.7552929696624141,1
PROJ-1014,Site Phase 6 Development,COMMERCIAL,Summit Const,1812132,2464890.3227148326,2022-03-29,306,2023-02-21,329,-652758.3227148326,-23,0.7351775384488978,1
PROJ-1015,Site Phase 5 Development,COMMERCIAL,Delta Partners,3411365,4863529.058906832,2023-01-08,431,2024-05-30,508,-1452164.0589068318,-77,0.7014176246675429,1
PROJ-1016,Site Phase 2 Development,COMMERCIAL,Delta Partners,5234628,5495680.804941156,2022-04-10,404,2023-06-11,427,-261052.80494115595,-23,0.9524985503695113,1
PROJ-1017,Site Phase 7 Development,INFRASTRUCTURE,Vertex Infra,2993112,2827728.534904207,2024-05-21,372,2025-06-10,385,165383.4650957929,-13,1.0584863303016445,0
PROJ-1018,Site Phase 2 Development,RESIDENTIAL,Apex Build,3768156,6452220.499385628,2023-10-26,266,2025-01-05,437,-2684064.499385628,-171,0.5840091795311085,1
PROJ-1019,Site Phase 1 Development,INFRASTRUCTURE,Apex Build,3152380,4304022.797068877,2022-05-11,506,2024-01-17,616,-1151642.7970688771,-110,0.732426417942496,1
