Project_ID,Project_Name,Sector,Lead_Contractor,Target_Budget_USD,Final_Cost_USD,Planned_Start,Planned_Duration_Days,Actual_End
PROJ-1000,Site Phase 6 Development,res,Apex Build,3995654,5179876.393173464,2022-04-13,454,2023-10-24
PROJ-1001,Site Phase 5 Development,res,Apex Build,710734,1981902.4972983445,2023-03-12,94,2023-11-05
PROJ-1002,Site Phase 2 Development,Infrastructure,Apex Construction Inc,2400112,3437896.4871309446,2024-05-10,208,2025-01-06
PROJ-1003,Site Phase 9 Development,COMMERCIAL,Summit Const,2029860,2865814.4148294744,2022-09-28,378,2023-12-02
PROJ-1004,Site Phase 4 Development,Residential,Vertex Infra,2711791,3010516.6406042655,2022-04-17,463,2023-08-16
PROJ-1005,Site Phase 4 Development,Residential,Summit Const,1522444,3621669.672247788,2022-03-13,154,2023-03-27
PROJ-1006,Site Phase 5 Development,COMMERCIAL,Delta Partners,2933975,3993453.4449493014,2023-12-02,235,2024-08-21
PROJ-1007,Site Phase 8 Development,Residential,Delta Partners,1684879,2325159.8980203145,2022-01-21,313,2023-04-14
PROJ-1008,Site Phase 4 Development,COMMERCIAL,Delta Partners,3061552,4173759.6255007624,2023-09-07,328,2024-09-17
PROJ-1009,Site Phase 5 Development,Residential,Apex Construction Inc,2471140,3694640.705358076,2022-05-02,266,2023-03-17
PROJ-1010,Site Phase 4 Development,Infrastructure,Apex Build,2750100,3863444.7619294277,2023-04-12,356,2024-05-16
PROJ-1011,Site Phase 6 Development,Residential,Summit Const,4817720,6551484.249873097,2022-08-03,430,2023-11-04
PROJ-1012,Site Phase 3 Development,res,Vertex Infra,4122181,5865382.854020679,2022-11-27,371,2023-12-27
PROJ-1013,Site Phase 8 Development,COMMERCIAL,Delta Partners,1406152,1861730.5555332974,2023-04-04,152,2023-09-26
PROJ-1014,Site Phase 6 Development,Commercial,Summit Const,1812132,2464890.3227148326,2022-03-29,306,2023-02-21
PROJ-1015,Site Phase 5 Development,Commercial,Delta Partners,3411365,4863529.058906832,2023-01-08,431,2024-05-30
PROJ-1016,Site Phase 2 Development,COMMERCIAL,Delta Partners,5234628,5495680.804941156,2022-04-10,404,2023-06-11
PROJ-1017,Site Phase 7 Development,Infrastructure,Vertex Infra,2993112,2827728.534904207,2024-05-21,372,2025-06-10
PROJ-1018,Site Phase 2 Development,Residential,Apex Construction Inc,3768156,6452220.499385628,2023-10-26,266,2025-01-05
PROJ-1019,Site Phase 1 Development,Infrastructure,Apex Build,3152380,4304022.797068877,2022-05-11,506,2024-01-17
PROJ-1020,Site Phase 7 Development,Commercial,Apex Construction Inc,2364989,4875777.65123068,2023-10-24,187,2024-09-07
PROJ-1021,Site Phase 5 Development,COMMERCIAL,Summit Const,1927002,5777689.10356049,2022-11-05,194,2024-01-18
PROJ-1022,Site Phase 1 Development,COMMERCIAL,Apex Construction Inc,2736340,2978174.0316824694,2024-02-09,188,2024-09-01
PROJ-1023,Site Phase 4 Development,Infrastructure,Summit Const,4237560,4381068.648470713,2022-12-10,474,2024-05-02
PROJ-1024,Site Phase 4 Development,Infrastructure,Summit Const,5672602,8964583.866909474,2023-05-07,494,2024-11-22
PROJ-1025,Site Phase 7 Development,Residential,Apex Build,2081200,2288301.6216813703,2023-02-18,400,2024-05-24
PROJ-1026,Site Phase 9 Development,res,Vertex Infra,490200,670149.7935399265,2024-03-16,95,2024-07-08
PROJ-1027,Site Phase 2 Development,res,Apex Build,3992560,,2023-01-21,286,
PROJ-1028,Site Phase 1 Development,Residential,Apex Construction Inc,3849120,4710938.989842602,2022-07-11,440,2023-10-14
PROJ-1029,Site Phase 2 Development,res,Summit Const,2601396,2618912.190709275,2024-08-13,222,2025-04-07
PROJ-1030,Site Phase 7 Development,Commercial,Delta Partners,3388707,3428022.47203746,2022-10-04,447,2024-02-03
PROJ-1031,Site Phase 6 Development,res,Delta Partners,2120364,2316217.049442258,2022-06-10,348,2023-07-14
PROJ-1032,Site Phase 4 Development,Residential,Summit Const,4997000,,2023-04-05,526,
PROJ-1033,Site Phase 1 Development,res,Apex Build,1545488,2054200.559133591,2022-11-10,112,2023-03-17
PROJ-1034,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1520820,,2022-01-22,142,
PROJ-1035,Site Phase 5 Development,Infrastructure,Apex Build,3741928,4973990.479087192,2022-09-10,254,2023-06-14
PROJ-1036,Site Phase 1 Development,Commercial,Summit Const,2291625,3177486.8631179887,2024-01-18,291,2024-11-21
PROJ-1037,Site Phase 7 Development,COMMERCIAL,Summit Const,1408852,2111812.256414483,2024-05-06,172,2025-02-10
PROJ-1038,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1599858,3056045.1554753846,2023-07-15,234,2024-08-07
PROJ-1039,Site Phase 1 Development,Residential,Apex Construction Inc,989886,1982636.1708233086,2023-04-20,174,2024-01-25
PROJ-1040,Site Phase 2 Development,Infrastructure,Apex Construction Inc,1462753,2202084.520727415,2022-02-28,167,2022-10-31
PROJ-1041,Site Phase 3 Development,Infrastructure,Vertex Infra,3231865,3825217.4171459447,2023-05-26,455,2024-10-18
PROJ-1042,Site Phase 1 Development,Commercial,Apex Construction Inc,482850,880543.379768587,2023-11-13,90,2024-03-28
PROJ-1043,Site Phase 9 Development,Residential,Delta Partners,1832880,2684424.0334941703,2023-04-21,140,2023-09-20
PROJ-1044,Site Phase 8 Development,Commercial,Apex Construction Inc,2403064,3638610.4710187647,2023-12-01,262,2024-09-30
PROJ-1045,Site Phase 5 Development,res,Apex Construction Inc,3243702,4285771.340294089,2024-09-02,294,2025-07-25
PROJ-1046,Site Phase 2 Development,COMMERCIAL,Apex Construction Inc,2574922,3434907.553384789,2024-02-22,349,2025-02-24
PROJ-1047,Site Phase 5 Development,Commercial,Delta Partners,3319675,4063398.8368609156,2022-07-09,535,2024-03-05
PROJ-1048,Site Phase 6 Development,COMMERCIAL,Apex Construction Inc,5373544,7070305.471448613,2024-08-15,538,2026-03-18
PROJ-1049,Site Phase 1 Development,Residential,Delta Partners,4886402,5718071.315092487,2023-11-18,458,2025-03-05
PROJ-1050,Site Phase 4 Development,res,Vertex Infra,2916095,3132303.749154094,2024-08-15,377,2025-09-26
PROJ-1051,Site Phase 9 Development,Residential,Apex Build,1828641,3458980.891349186,2023-07-17,123,2024-01-19
PROJ-1052,Site Phase 2 Development,res,Vertex Infra,5895130,7136564.936534094,2024-05-25,437,2025-08-17
PROJ-1053,Site Phase 5 Development,res,Apex Build,1095904,1729232.8941145465,2023-07-21,184,2024-04-15
